ZIP_CODE,SORT_KEY,STATE_PROVINCE,VERSIONNUM,FIRST_NAME,QUALITY,ALIAS_NAME,CITY,LAST_DAY_UPDATED,ENTITY_ALIAS,NAME_ORIGINAL_SCRIPT,REFERENCE_NUMBER,ENTITY_ADDRESS,LISTED_ON,STREET,NOTE,DATAID,LIST_TYPE,VALUE,COUNTRY,UN_LIST_TYPE,COMMENTS1,SORT_KEY_LAST_MOD
?,,?,1,AFGHAN SUPPORT COMMITTEE (ASC),a.k.a.,Lajnat ul Masa Eidatul Afghania, Peshawar, 2011-12-13  2021-11-15 , a.k.a.  Lajnat ul Masa Eidatul Afghania ,?,QDe.069," Headquarters – G.T. Road (probably Grand Trunk Road), near Pushtoon Garhi Pabbi  Peshawar  Pakistan ",2002-01-11,"Headquarters – G.T. Road (probably Grand Trunk Road), near Pushtoon Garhi Pabbi",?,113226, UN List ,UN List,Pakistan,Al-Qaida,Associated with the Revival of Islamic Heritage Society (QDe.070). Abu Bakr al-Jaziri (QDi.058) served as finance chief of ASC. Review pursuant to Security Council resolution 1822 (2008) was concluded on 8 Jun. 2010. Review pursuant to Security Council resolution 2368 (2017) was concluded on 15 November 2021. INTERPOL-UN Security Council Special Notice web link:https://www.interpol.int/en/How-we-work/Notices/View-UN-Notices-Individuals,
25300,,?,1,AL-AKHTAR TRUST INTERNATIONAL,a.k.a.,Al Akhtar Trust,Karachi, 2008-12-10  2011-12-13  2019-05-01  2022-11-08 , a.k.a.  Al Akhtar Trust ,?,QDe.121," ST-1/A, Gulsahn-e-Iqbal, Block 2  Karachi  25300  Pakistan ",2005-08-17,"ST-1/A, Gulsahn-e-Iqbal, Block 2",?,113227, UN List ,UN List,Pakistan,Al-Qaida,"Regional offices in Pakistan: Bahawalpur, Bawalnagar, Gilgit, Islamabad,
Mirpur Khas, Tando-Jan-Muhammad. Akhtarabad Medical Camp is in Spin Boldak, Afghanistan.
Registered by members of Jaish-i-Mohammed (QDe.019). Associated with Harakat
ul-Mujahidin/ HUM (QDe.008), Lashkar I Jhanghvi (LJ) (QDe.096) and Lashkar-e-Tayyiba
(QDe.118). Banned in Pakistan. Review pursuant to Security Council resolution 1822
(2008) was concluded on 14 Sep. 2009. Review pursuant to Security Council resolution 2253 (2015) was concluded on 21 Feb. 2019. Review pursuant to Security Council resolution 2610 (2021) was concluded on 8 November 2022.  INTERPOL-UN Security Council Special Notice web link:https://www.interpol.int/en/How-we-work/Notices/View-UN-Notices-Individuals",
?,,?,1,AL-HARAMAIN & AL MASJED AL-AQSA CHARITY FOUNDATION,a.k.a.,Al Haramain Al Masjed Al Aqsa,Sarajevo, 2004-11-26  2008-09-16  2009-03-24  2020-11-24  2022-11-08  2023-02-02 , a.k.a.  Al Haramain Al Masjed Al Aqsa ,?,QDe.109, Branch Address: 2A Hasiba Brankovica  Sarajevo  Bosnia and Herzegovina ,2004-06-28,Branch Address: 2A Hasiba Brankovica,?,113232, UN List ,UN List,Bosnia and Herzegovina,Al-Qaida,Reportedly defunct. Used to be officially registered in Bosnia and Herzegovina under registry number 24. Al-Haramain & Al Masjed Al-Aqsa Charity Foundation ceased its work by decision of the Ministry of Justice of the Bosnia and Herzegovina Federation (decision on cessation of operation number 03-05-2-203/04). It was no longer in existence as of Dec. 2008. Its premises and humanitarian activities were transferred under Government supervision to a new entity called Sretna Buducnost. Review pursuant to Security Council resolution 1822 (2008) was concluded on 22 Jun. 2010. Review pursuant to Security Council resolution 2368 (2017) was concluded on 24 November 2020. Review pursuant to Security Council resolution 2610 (2021) was concluded on 8 November 2022. INTERPOL-UN Security Council Special Notice web link:https://www.interpol.int/en/How-we-work/Notices/View-UN-Notices-Individuals,
?,,Addis Ababa,1,AL-HARAMAIN: ETHIOPIA BRANCH,,,Woreda District 24 Kebele Section 13, 2012-03-21  2020-11-24  2022-11-08 ,    ,?,QDe.113, Woreda District 24 Kebele Section 13  Addis Ababa  Ethiopia  at time of listing ,2004-07-06,?,at time of listing,113233, UN List ,UN List,Ethiopia,Al-Qaida,"Review pursuant to Security Council resolution 1822 (2008) was concluded
on 22 Jun. 2010. Review pursuant to Security Council resolution 2368 (2017) was concluded on 24 November 2020. Review pursuant to Security Council resolution 2610 (2021) was concluded on 8 November 2022. INTERPOL-UN Security Council Special Notice web link:https://www.interpol.int/en/How-we-work/Notices/View-UN-Notices-Individuals",
?,,?,1,AL-HARAMAIN FOUNDATION (UNION OF THE COMOROS),,,B/P: 1652 Moroni, 2012-03-21  2020-11-24  2022-11-08 ,    ,?,QDe.116, B/P: 1652 Moroni  Comoros  at time of listing ,2004-09-28,?,at time of listing,113234, UN List ,UN List,Comoros,Al-Qaida,"Review pursuant to Security Council resolution 1822 (2008) was concluded
on 22 Jun. 2010. Review pursuant to Security Council resolution 2368 (2017) was concluded on 24 November 2020. Review pursuant to Security Council resolution 2610 (2021) was concluded on 8 November 2022. INTERPOL-UN Security Council Special Notice web link:https://www.interpol.int/en/How-we-work/Notices/View-UN-Notices-Individuals",
?,,?,1,AL-HARAMAIN: THE NETHERLANDS BRANCH,a.k.a.,Stichting Al Haramain Humanitarian Aid,Amsterdam, 2012-04-13  2015-06-15  2020-11-24  2022-11-08  2023-02-02 , a.k.a.  Stichting Al Haramain Humanitarian Aid ,?,QDe.114," Jan Hanzenstraat 114, 1053SV  Amsterdam  Netherlands  at time of listing ",2004-07-06,"Jan Hanzenstraat 114, 1053SV",at time of listing,113235, UN List ,UN List,Netherlands,Al-Qaida,"Reportedly defunct.Review pursuant to Security Council resolution 1822 (2008) was concluded
on 28 Jun. 2010. Review pursuant to Security Council resolution 2368 (2017) was concluded on 24 November 2020. Review pursuant to Security Council resolution 2610 (2021) was concluded on 8 November 2022. INTERPOL-UN Security Council Special Notice web link:https://www.interpol.int/en/How-we-work/Notices/View-UN-Notices-Individuals",
?,,?,1,EGYPTIAN ISLAMIC JIHAD,a.k.a.,Egyptian Al-Jihad,?, 2009-03-05  2011-12-13  2020-11-24  2022-11-08 , a.k.a.  Egyptian Al-Jihad ,الجهاد الاسلامي المصري,QDe.003,  ,2001-10-06,?,?,113236, UN List ,UN List,,Al-Qaida,"Co-founded by Aiman Muhammed Rabi al-Zawahiri (QDi.006), who was also its
military leader. Review pursuant to Security Council resolution 1822 (2008) was
concluded on 21 Jun. 2010. Review pursuant to Security Council resolution 2368 (2017) was concluded on 24 November 2020. Review pursuant to Security Council resolution 2610 (2021) was concluded on 8 November 2022. INTERPOL-UN Security Council Special Notice web link:https://www.interpol.int/en/How-we-work/Notices/View-UN-Notices-Individuals",
?,,?,1,ARMED ISLAMIC GROUP,a.k.a.,Al Jamm’ah Al-Islamiah Al- Musallah,?, 2008-04-07  2011-12-13  2020-11-24 , a.k.a.  Al Jamm’ah Al-Islamiah Al- Musallah ,الجماعة الاسلامية المسلحة,QDe.006, Algeria ,2001-10-06,?,?,113237, UN List ,UN List,Algeria,Al-Qaida,"Review pursuant to Security Council resolution 1822 (2008) was concluded
on 21 Jun. 2010. Review pursuant to Security Council resolution 2368 (2017) was concluded on 24 November 2020. INTERPOL-UN Security Council Special Notice web link:https://www.interpol.int/en/How-we-work/Notices/View-UN-Notices-Individuals",
?,,?,1,HARAKAT UL-MUJAHIDIN / HUM,a.k.a.,Al-Faran,?, 2011-12-13  2020-11-24 , a.k.a.  Al-Faran ,?,QDe.008, Pakistan ,2001-10-06,?,?,113263, UN List ,UN List,Pakistan,Al-Qaida,"Associated with Jaish-i-Mohammed (QDe.019), Lashkar i Jhangvi (LJ)
(QDe.096) and Lashkar-e-Tayyiba (QDe.118). Active in Pakistan and Afghanistan. Banned in
Pakistan. Review pursuant to Security Council resolution 1822 (2008) was concluded on 21
Jun. 2010. Review pursuant to Security Council resolution 2368 (2017) was concluded on 24 November 2020. INTERPOL-UN Security Council Special Notice web link:https://www.interpol.int/en/How-we-work/Notices/View-UN-Notices-Individuals",
?,,?,1,AL-HARAMAIN: ALBANIA BRANCH,,,Tirana, 2012-03-21  2020-11-24  2022-11-08 ,    ,?,QDe.111," Irfan Tomini Street, #58  Tirana  Albania  at time of listing ",2004-07-06,"Irfan Tomini Street, #58",at time of listing,113335, UN List ,UN List,Albania,Al-Qaida,"Review pursuant to Security Council resolution 1822 (2008) was concluded
on 22 Jun. 2010. Review pursuant to Security Council resolution 2368 (2017) was concluded on 24 November 2020. Review pursuant to Security Council resolution 2610 (2021) was concluded on 8 November 2022. INTERPOL-UN Security Council Special Notice web link:https://www.interpol.int/en/How-we-work/Notices/View-UN-Notices-Individuals",
